"No,";Time;Source;Destination;Protocol;Length;Info;;;;;;time 1;time 2;;delay;;delay 1;delay 2;Jitter
1;0;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=1 Ack=1 Win=13660 Len=0;;;;;;0;0;;0;;"-0,04595";"0,04595";"0,0919"
2;0;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=1 Ack=52 Win=13660 Len=0;;;;;;0;"0,04595";;"0,04595";;"0,03117";"0,01478";"-0,01639"
3;"0,04595";"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=1 Ack=311 Win=13660 Len=0;;;;;;"0,04595";"0,06073";;"0,01478";;"0,014737";"4,3E-05";"-0,014694"
4;"0,06073";"172,31,18,98";"103,107,186,26";"TLSv1,2";107;Application Data;;;;;;"0,06073";"0,060773";;"4,3E-05";;"2,5E-05";"1,8E-05";-7E-06
5;"0,060773";"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;;;"0,060773";"0,060791";;"1,8E-05";;-3E-06;"2,1E-05";"2,4E-05"
6;"0,060791";"172,31,18,98";"103,107,186,26";"TLSv1,2";107;Application Data;;;;;;"0,060791";"0,060812";;"2,1E-05";;-2E-06;"2,3E-05";"2,5E-05"
7;"0,060812";"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;;;"0,060812";"0,060835";;"2,3E-05";;3E-06;2E-05;"1,7E-05"
8;"0,060835";"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;;;"0,060835";"0,060855";;2E-05;;0;2E-05;2E-05
9;"0,060855";"172,31,18,98";"103,107,186,26";"TLSv1,2";1181;Application Data;;;;;;"0,060855";"0,060875";;2E-05;;-2E-06;"2,2E-05";"2,4E-05"
10;"0,060875";"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;;;"0,060875";"0,060897";;"2,2E-05";;5E-06;"1,7E-05";"1,2E-05"
